CaseId,CaseName,SchemeId,ScriptDllName,PARA_FILE_NAME,CATALOGUE
1,全网升级STA（旧-新）,1,SgHplcTestScript.dll::Script_Upgrade_STA_normal_2,Script_Upgrade_STA_old2new,测试准备
2,升级CCO（旧-新）,1,SgHplcTestScript.dll::Script_Upgrade_CCO_normal_2,Script_Upgrade_CCO_old2new,测试准备
3,升级CCO（新-新）,1,SgHplcTestScript.dll::Script_Upgrade_CCO_normal_2,Script_Upgrade_CCO_new2new,CCO升级
4,升级CCO（文件类型错误）,1,SgHplcTestScript.dll::Script_Upgrade_CCO_wrongbin,Script_Upgrade_CCO_wrongbin,CCO升级
6,升级CCO（100包长度256）,1,SgHplcTestScript.dll::Script_Upgrade_CCO_changepacketlength,Script_Upgrade_CCO_changepacketlength,CCO升级
8,升级15F1-路由复位,2,SgHplcTestScript.dll::Script_CCOUpgrade_RouterResetTest,Script_CCOUpgrade_RouterResetTest,CCO升级
9,升级15F1-遗漏文件段升级,2,SgHplcTestScript.dll::Script_CCOUpgrade_MissFileTest,Script_CCOUpgrade_MissFileTest,CCO升级
10,升级15F1-遍历波特率测试,2,SgHplcTestScript.dll::Script_CCOUpgrade_BaudTest,Script_CCOUpgrade_BaudTest,CCO升级
11,升级15F1-格式规范性测试,2,SgHplcTestScript.dll::Script_CCOUpgrade_FormatTest,Script_CCOUpgrade_FormatTest,CCO升级
12,升级15F1-传输文件长度测试,2,SgHplcTestScript.dll::Script_CCOUpgrade_LengthTest,Script_CCOUpgrade_LengthTest,CCO升级
13,全网升级STA（新-新）,1,SgHplcTestScript.dll::Script_Upgrade_STA_normal_2,Script_Upgrade_STA_new2new,STA升级
18,组网,1,SgHplcTestScript.dll::Script_BuildNetwork_GW,Script_BuildNetwork_GW,组网
19,组网-删除从节点,1,SgHplcTestScript.dll::Script_BuildNetwork_GW_DeleteNode,Script_BuildNetwork_GW_DeleteNode,组网
20,组网-硬件初始化,1,SgHplcTestScript.dll::Script_BuildNetwork_GW_HardReset,Script_BuildNetwork_GW_HardReset,组网
21,组网-参数初始化,1,SgHplcTestScript.dll::Script_BuildNetwork_GW_ParameterInit,Script_BuildNetwork_GW_ParameterInit,组网
22,组网-无入网节点组网标志位,1,SgHplcTestScript.dll::Script_BuildNetwork_GW_NetFlag,Script_BuildNetwork_GW_NetFlag,组网
23,组网-无档案搜表组网标志位,1,SgHplcTestScript.dll::Script_SearchMeterWithOutNodes_GW_NetFlag,Script_SearchMeterWithOutNodes_GW_NetFlag,组网
24,多网络组网,1,SgHplcTestScript.dll::Script_BuildMultiNetwork_GW,Script_BuildMultiNetwork_GW,多网络组网
25,抄表-13F1,1,SgHplcTestScript.dll::Script_ReadMeter_13F1,Script_ReadMeter_13F1,抄表-13F1
26,抄表-13F1-添加删除节点,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_AddDeleteNode,Script_ReadMeter_13F1_AddDeleteNode,抄表-13F1
27,抄表-13F1-延时相关,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_DelayRelated,Script_ReadMeter_13F1_DelayRelated,抄表-13F1
28,抄表-13F1-节点不在档案,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_NodeNotInRouter,Script_ReadMeter_13F1_NodeNotInRouter,抄表-13F1
30,抄表-13F1-附属节点,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_SubsidiaryNode,Script_ReadMeter_13F1_SubsidiaryNode,抄表-13F1
33,抄表-13F1-协议规范性测试,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_ProtocolConformance,Script_ReadMeter_13F1_ProtocolConformance,抄表-13F1
34,抄表-13F1-连续重复抄读同一只入网节点,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_ContinueReadSameNetNode,Script_ReadMeter_13F1_ContinueReadSameNetNode,抄表-13F1
36,抄表-13F1-控制域,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_ContrlArea,Script_ReadMeter_13F1_ContrlArea,抄表-13F1
37,抄表-13F1-不下发暂停路由,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_NoRouterPause,Script_ReadMeter_13F1_NoRouterPause,抄表-13F1
38,抄表-13F1-入网全9&全a抄表测试,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_AddrAll9AndAllA,Script_ReadMeter_13F1_AddrAll9AndAllA,抄表-13F1
39,抄表-13F1-电表响应逻辑测试,1,SgHplcTestScript.dll::Script_ReadMeter_13F1_MeterAnswerLogicTest,Script_ReadMeter_13F1_MeterAnswerLogicTest,抄表-13F1
41,抄表-14F1,1,SgHplcTestScript.dll::Script_ReadMeter_14F1,Script_ReadMeter_14F1,抄表-14F1
43,抄表-14F1-延时相关,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_DelayRelated,Script_ReadMeter_14F1_DelayRelated,抄表-14F1
44,抄表-14F1-重启暂停恢复1,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_RestartPauseRocover1,Script_ReadMeter_14F1_RestartPauseRocover1,抄表-14F1
45,抄表-14F1-重启暂停恢复2,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_RestartPauseRocover2,Script_ReadMeter_14F1_RestartPauseRocover2,抄表-14F1
